year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2022,UGA,Uganda,UG,Northern,UG3,Kwania,UG3081,122072,116387,238459,21487,19622,17148,14248,10327,8236,7036,5578,4536,3232,2357,1811,1636,2348,949,887,634,21236,19710,17656,15022,10011,7344,5547,4673,3570,2936,2250,1837,1335,1573,668,561,458,42723,39332,34804,29270,20338,15580,12583,10251,8106,6168,4607,3648,2971,3921,1617,1448,1092
2022,UGA,Uganda,UG,Northern,UG3,Lamwo,UG3082,79464,74184,153648,14562,13191,10357,8049,5954,5425,5134,3747,2898,2406,1829,1717,1296,979,796,681,443,15125,13815,10835,8896,5285,4092,3595,3075,2268,1822,1522,1268,877,645,424,394,246,29687,27006,21192,16945,11239,9517,8729,6822,5166,4228,3351,2985,2173,1624,1220,1075,689
2022,UGA,Uganda,UG,Northern,UG3,Lira,UG3083,273507,253927,527434,44549,39075,36208,34630,26926,23891,17578,13227,9721,7373,5593,4426,3734,2423,1761,1293,1099,44991,39276,34418,33033,24467,19844,15082,11823,7942,6279,4903,3926,2961,1945,1251,951,835,89540,78351,70626,67663,51393,43735,32660,25050,17663,13652,10496,8352,6695,4368,3012,2244,1934
2022,UGA,Uganda,UG,Northern,UG3,Madi Okollo,UG3084,96583,91227,187810,17039,14279,11716,10543,8089,7045,6400,5284,3886,3535,2505,2173,1545,1077,669,473,325,17788,15022,12836,11339,7542,5756,4364,3713,2748,2541,2306,1969,1306,859,503,398,237,34827,29301,24552,21882,15631,12801,10764,8997,6634,6076,4811,4142,2851,1936,1172,871,562
2022,UGA,Uganda,UG,Northern,UG3,Maracha,UG3085,119897,106223,226120,21588,18350,14584,12745,9384,8089,7760,6425,4797,4310,3057,3047,2069,1643,985,637,427,22073,19404,16207,12540,7227,5684,4759,3805,3036,2859,2553,2150,1433,1121,693,402,277,43661,37754,30791,25285,16611,13773,12519,10230,7833,7169,5610,5197,3502,2764,1678,1039,704
2022,UGA,Uganda,UG,Northern,UG3,Moroto,UG3086,67515,62076,129591,13209,11247,7868,6837,5867,5331,4603,2816,2161,1763,1371,1098,1374,983,458,323,206,12576,10970,7804,6359,5178,4777,4196,2552,1914,1482,1185,850,930,628,357,150,168,25785,22217,15672,13196,11045,10108,8799,5368,4075,3245,2556,1948,2304,1611,815,473,374
2022,UGA,Uganda,UG,Northern,UG3,Moyo,UG3087,46931,45253,92184,7184,7099,6282,5391,3778,3403,3069,2579,1815,1786,1266,1248,758,562,355,216,140,7318,7473,6651,5851,4147,2908,2327,2018,1495,1404,1210,968,633,395,214,150,91,14502,14572,12933,11242,7925,6311,5396,4597,3310,3190,2476,2216,1391,957,569,366,231
2022,UGA,Uganda,UG,Northern,UG3,Nabilatuk,UG3088,54846,48185,103031,10061,9619,7405,6706,3972,4259,3278,1891,1480,1314,950,941,1056,1038,414,254,208,9292,9009,7117,6477,3860,3199,2565,1533,1057,1049,777,541,632,492,313,134,138,19353,18628,14522,13183,7832,7458,5843,3424,2537,2363,1727,1482,1688,1530,727,388,346
2022,UGA,Uganda,UG,Northern,UG3,Nakapiripirit,UG3089,66990,61707,128697,12294,10905,7979,7352,5313,5424,4965,2673,2024,1671,1247,1061,1692,1331,581,302,176,12073,10378,7969,7145,5118,4586,3956,2209,1758,1495,1223,894,1314,759,435,221,174,24367,21283,15948,14497,10431,10010,8921,4882,3782,3166,2470,1955,3006,2090,1016,523,350
2022,UGA,Uganda,UG,Northern,UG3,Napak,UG3090,92816,78584,171400,17284,15393,10677,9513,6594,7500,5961,3845,2946,2707,2339,1811,2409,2008,847,598,384,16843,14854,10754,9230,5625,5080,3904,2504,1872,1684,1439,1109,1413,1078,574,365,256,34127,30247,21431,18743,12219,12580,9865,6349,4818,4391,3778,2920,3822,3086,1421,963,640
